State,i,e,w,r,c,v,LETTER,DIGIT,QUOTE,OP,SC,SPACE,NL,EOF,OTHER,f,n,t,h,a,o,u,d,l,s
ST_KW_CHAR,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT
ST_KW_V,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_KW_VO,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT
ST_KW_VO,ST_KW_VOI,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT
ST_KW_VOI,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_KW_VOID,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT
ST_KW_VOID,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT
ST_KW_E,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_KW_EL,ST_IN_IDENT
ST_KW_EL,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_KW_ELS
ST_KW_ELS,ST_IN_IDENT,ST_KW_ELSE,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT
ST_KW_ELSE,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT
ST_KW_W,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_STOP,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_KW_WH,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT,ST_IN_IDENT
